Keyword,Country code,Location,Language,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
cleardent,ES,Spain,Spanish,Cleardent (Organization),"Local pack, People also ask, Video preview",2000,5,0.47,1607,0,2,https://www.cleardent.es/,,2026-03-01 18:43:54,false,true,false,false,true,false
cuanto vale un blanqueamiento dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Shopping, Video preview",1200,0,0.47,1037,0,1,https://www.cleardent.es/cuanto-cuesta-un-blanqueamiento-dental/,AI Overview,2026-03-07 07:49:33,false,true,true,false,false,false
papilas gustativas inflamadas,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail",2400,0,0.26,860,0,1,https://www.cleardent.es/por-que-se-inflaman-las-papilas-gustativas/,Featured snippet,2026-03-12 18:36:22,false,true,false,false,false,false
implantes dentales sin tornillos precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",1800,0,0.24,644,0,1,https://www.cleardent.es/implantes-dentales-sin-tornillo-precio/,AI Overview,2026-03-07 03:08:57,false,true,true,false,false,false
precio blanqueamiento dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",2400,0,0.43,509,0,1,https://www.cleardent.es/cuanto-cuesta-un-blanqueamiento-dental/,AI Overview,2026-03-07 23:36:49,false,true,true,false,false,false
quitar dolor de muelas al instante,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",8900,0,0.09,482,0,6,https://www.cleardent.es/como-quitar-el-dolor-de-muelas/,,2026-03-12 06:21:19,false,true,false,false,false,false
invisalign precio,ES,Spain,Spanish,Invisalign (Product),"AI Overview, Thumbnail, Sitelinks, People also ask, Shopping, Video preview",4100,0,0.92,456,0,1,https://www.cleardent.es/precio-invisalign/,AI Overview,2026-03-10 09:20:17,false,true,true,false,true,false
sin paladar sin ganchos lo ultimo en protesis dentales removibles,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",1200,0,0.42,444,0,1,https://www.cleardent.es/protesis-dentales-sin-ganchos-ni-paladar/,AI Overview,2026-03-10 22:55:57,false,true,false,false,false,false
sabor amargo en la boca cáncer,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",1100,3,,438,0,1,https://www.cleardent.es/disgeusia-que-es/,AI Overview,2026-02-27 15:20:41,false,true,false,false,false,false
férula de descarga precio,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping, Video preview",900,0,0.17,393,0,1,https://www.cleardent.es/ferula-descarga-precio-farmacias/,,2026-02-27 17:51:36,false,true,true,false,false,false
blanqueamiento dental precios,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask",800,0,0.32,329,0,1,https://www.cleardent.es/cuanto-cuesta-un-blanqueamiento-dental/,AI Overview,2026-02-24 12:14:43,false,true,true,false,false,false
tipos de implantes dentales y precios,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",900,0,0.29,322,0,1,https://www.cleardent.es/implantes-dentales/precios-implantes-dentales/,AI Overview,2026-02-28 22:48:15,false,true,true,false,false,false
cuanto vale una limpieza dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask",700,0,0.67,315,0,1,https://www.cleardent.es/cuanto-cuesta-una-limpieza-dental/,AI Overview,2026-03-11 12:51:28,false,true,false,false,false,false
dientes postizos en farmacias,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping, Video preview",800,0,0.08,303,0,1,https://www.cleardent.es/carillas-dentales-en-farmacias/,,2026-03-07 08:12:45,false,true,true,false,false,false
precio dentadura postiza quita y pon,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping",800,0,0.52,300,0,1,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,,2026-03-06 21:02:15,false,true,true,false,false,false
