#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,precio implante dental,es,0,2900,0.30,1.3,precio implante dental,2026-03-08 11:29:45,"AI Overview,Thumbnail,People also ask,Shopping,Video preview",3700,3200,3200,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Spanish,"3018, 2816, 2779, 2694, 2640, 2374, 2966, 2894, 2964, 2613, 3326, 3456, 3085, 2884, 2846, 2761, 2708, 2441, 3033, 2962, 3031, 2680, 3393, 3524","3152, 2951, 2913, 2828, 2775, 2508, 3100, 3029, 3098, 2747, 3461, 3591, 3219"
2,precio blanqueamiento dental,es,0,2200,0.45,1.22,blanqueamiento dental precio,2026-03-07 23:36:49,"AI Overview,Thumbnail,People also ask,Sitelinks,Shopping,Video preview",3000,2700,2800,2015-09-02,"Informational,Commercial,Non-branded,Non-local",Spanish,"2441, 2301, 2347, 2128, 2281, 1912, 1921, 1954, 2044, 2088, 2463, 2590, 2434, 2295, 2342, 2124, 2278, 1909, 1918, 1952, 2042, 2086, 2461, 2588","2432, 2294, 2341, 2123, 2277, 1908, 1917, 1951, 2041, 2086, 2460, 2588, 2432"
3,precio endodoncia,es,0,2000,0.35,1.16,endodoncia precio,2026-03-11 02:34:47,"AI Overview,Thumbnail,People also ask,Video preview",3100,4100,4100,2015-09-01,"Informational,Non-branded,Non-local",Spanish,"2190, 1880, 1922, 1909, 1801, 1680, 2047, 1883, 2065, 1806, 2192, 2339, 2250, 1940, 1982, 1970, 1862, 1741, 2107, 1944, 2126, 1866, 2252, 2400","2311, 2001, 2042, 2030, 1922, 1801, 2168, 2004, 2186, 1926, 2312, 2460, 2371"
4,cuanto cuesta un implante dental,es,0,1800,0.30,1.33,precio implante dental,2026-02-22 18:35:34,"AI Overview,Thumbnail,People also ask,Sitelinks,Shopping,Video preview",4900,3000,3100,2015-09-01,"Informational,Commercial,Non-branded,Non-local",Spanish,"1761, 1641, 1806, 1701, 1706, 1441, 1688, 1698, 1742, 1670, 1906, 1794, 1877, 1756, 1922, 1816, 1821, 1556, 1803, 1814, 1858, 1786, 2021, 1909","1992, 1872, 2038, 1932, 1937, 1672, 1919, 1929, 1973, 1902, 2137, 2025, 2108"
5,precio limpieza dental,es,0,1700,0.70,1.24,precio limpieza dental,2026-03-08 01:10:23,"AI Overview,Thumbnail,People also ask,Sitelinks,Shopping,Video preview",2500,15000,15000,2015-09-02,"Informational,Non-branded,Non-local",Spanish,"1683, 1605, 1586, 1716, 1740, 1455, 1726, 1605, 1657, 1551, 1715, 1776, 1699, 1621, 1601, 1731, 1754, 1468, 1739, 1617, 1669, 1563, 1726, 1787","1710, 1631, 1611, 1740, 1763, 1477, 1748, 1626, 1677, 1571, 1734, 1794, 1717"
6,precio carillas dentales,es,0,1600,0.30,1.18,precio carillas dentales,2026-02-27 08:36:52,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Shopping",2500,4000,4100,2015-09-03,"Informational,Commercial,Non-branded,Non-local",Spanish,"1648, 1700, 1677, 1754, 1497, 1383, 1538, 1510, 1695, 1492, 1701, 1871, 1616, 1671, 1646, 1719, 1467, 1351, 1508, 1479, 1668, 1463, 1670, 1839","1585, 1640, 1615, 1688, 1438, 1322, 1479, 1450, 1638, 1433, 1639, 1808, 1555"
7,cuanto cuesta una endodoncia,es,0,1200,0.35,1.25,cuanto cuesta una endodoncia,2026-02-26 00:13:51,"AI Overview,Thumbnail,People also ask,Video preview",4900,1600,1600,2015-09-01,"Informational,Non-branded,Non-local",Spanish,"1246, 1126, 1292, 1127, 1118, 994, 1134, 1127, 1313, 1072, 1328, 1320, 1296, 1175, 1341, 1176, 1167, 1043, 1183, 1176, 1362, 1121, 1377, 1369","1345, 1224, 1390, 1225, 1216, 1092, 1232, 1225, 1411, 1170, 1426, 1418, 1394"
8,precio implante dental vitaldent,es,1,1200,0.30,1.23,precio implante dental vitaldent,2026-03-02 22:29:09,"Thumbnail,AI Overview,Video preview,People also ask,Sitelinks",1200,6400,6700,2015-09-25,"Informational,Commercial,Branded,Non-local",Spanish,"1283, 1194, 1518, 1149, 1024, 985, 1158, 1049, 1036, 944, 1265, 1254, 1304, 1211, 1537, 1163, 1035, 994, 1167, 1056, 1043, 949, 1271, 1260","1309, 1216, 1543, 1166, 1037, 996, 1170, 1058, 1045, 951, 1273, 1261, 1311"
9,cuanto cuesta un empaste,es,0,1200,0.40,0.92,cuanto cuesta un empaste,2026-02-23 06:11:09,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",1300,2600,2600,2015-09-01,"Informational,Non-branded,Non-local",Spanish,"1335, 1355, 1328, 1104, 1105, 850, 1112, 1130, 1084, 1067, 1226, 1238, 1266, 1149, 1213, 1173, 1168, 1074, 1151, 1167, 1139, 1122, 1281, 1293","1320, 1204, 1268, 1228, 1223, 1128, 1206, 1221, 1194, 1177, 1336, 1348, 1375"
10,precio ortodoncia invisible,es,0,1000,0.70,1.27,ortodoncia invisible precio,2026-03-02 23:44:02,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",1500,2000,2100,2015-09-01,"Informational,Commercial,Non-branded,Non-local",Spanish,"1457, 1229, 1036, 858, 890, 693, 1040, 960, 1140, 897, 1040, 1035, 1055, 1010, 1114, 1015, 1016, 883, 1004, 991, 1168, 927, 1069, 1064","1084, 1040, 1144, 1045, 1045, 913, 1034, 1021, 1198, 957, 1099, 1094, 1114"
