Keyword,Country code,Location,Language,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"Sitelinks, Local pack, People also ask, Thumbnail, Video preview",20000,7,0.89,13883,0,1,https://www.vitaldent.com/es/,,2026-03-08 06:37:07,false,true,false,false,true,false
endodoncia,ES,Spain,Spanish,,"Featured snippet, Thumbnail, People also ask, Video preview",23000,4,0.30,10008,0,1,https://www.vitaldent.com/es/endodoncia-que-es/,Featured snippet,2026-03-09 00:25:52,false,true,false,false,false,false
ortodoncia invisible,ES,Spain,Spanish,,"Thumbnail, People also ask, Local pack, Video preview",9500,0,1.06,3295,0,1,https://www.vitaldent.com/es/ortodoncia-invisible/,,2026-03-09 04:41:13,false,true,true,false,false,false
ferula de descarga,ES,Spain,Spanish,,"Thumbnail, People also ask, Shopping, Video preview",11000,0,0.11,2176,0,1,https://www.vitaldent.com/es/ferula-de-descarga/,,2026-03-09 05:00:01,false,true,true,false,false,false
quitar dolor de muelas al instante,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",8900,0,0.09,2126,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-12 06:21:19,false,true,false,false,false,false
blanqueamiento dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",17000,1,0.48,1841,0,1,https://www.vitaldent.com/es/blanqueamiento-dental/,AI Overview,2026-03-09 01:46:58,false,true,true,false,false,false
clínica dental vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"Local pack, People also ask, Thumbnail",2500,0,0.34,1473,0,2,https://www.vitaldent.com/es/limpieza-dental-profesional-avanzada/,People also ask,2026-03-13 00:58:57,false,true,false,false,true,false
carillas dentales,ES,Spain,Spanish,,"Thumbnail, People also ask, Video preview",18000,1,0.48,1426,0,3,https://www.vitaldent.com/es/carillas-dentales/,,2026-03-08 10:28:51,false,true,false,false,false,false
manchas blancas en los dientes,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1500,0,0.04,1362,0,1,https://www.vitaldent.com/blog/manchas-blancas-dientes-causas-soluciones/,AI Overview,2026-03-02 09:32:05,false,true,false,false,false,false
brackets,ES,Spain,English,,"People also ask, Thumbnail, Video preview",20000,0,0.81,1360,0,2,https://www.vitaldent.com/es/brackets/,,2026-03-09 17:47:50,false,true,false,false,false,false
dolor muela juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1500,0,0.11,1261,0,1,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,AI Overview,2026-03-05 13:57:04,false,true,false,false,false,false
clorhexidina para que sirve,ES,Spain,Spanish,chlorhexidine (Product),"AI Overview, Thumbnail, People also ask, Video preview",5400,0,0.01,1217,0,1,https://www.vitaldent.com/blog/clorhexidina-para-que-sirve-y-porque-debe-usarse/,AI Overview,2026-03-07 12:24:06,false,true,false,false,false,false
dolor de encias,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1500,0,0.13,1193,0,1,https://www.vitaldent.com/blog/dolor-de-encias/,AI Overview,2026-03-06 05:17:10,false,true,false,false,false,false
